Symbol,Huffman Code
48,0000000
178,0000001
166,0000010
156,0000011
134,000010
212,000011000
184,000011001
214,0000110100
217,0000110101
188,000011011
165,0000111
169,0001000
136,0001001
143,000101
148,000110
140,0001110
155,0001111
160,0010000
186,001000100
201,001000101
206,001000110
185,001000111
46,001001
129,001010
167,0010110
161,0010111
123,0011000
127,0011001
141,0011010
145,0011011
55,0011100
126,0011101
179,00111100
203,001111010
219,00111101100
224,00111101101000
229,0011110110100100
231,00111101101001010
239,00111101101001011
228,001111011010011
225,00111101101010
223,00111101101011
222,0011110110110
226,00111101101110
230,0011110110111100
236,001111011011110100
36,001111011011110101
233,001111011011110110
238,001111011011110111
227,0011110110111110
241,001111011011111100
232,001111011011111101
235,00111101101111111
213,0011110111
151,0011111
146,0100000
47,0100001
65,0100010
137,0100011
150,0100100
60,0100101
162,0100110
104,0100111
41,01010
125,0101100
164,0101101
142,0101110
139,0101111
154,0110000
159,0110001
182,01100100
58,01100101
51,0110011
132,0110100
131,0110101
157,0110110
70,0110111
135,0111000
109,0111001
42,011101
144,0111100
147,0111101
63,01111100
68,01111101
62,01111110
67,01111111
80,1000000
99,1000001
152,1000010
57,10000110
53,10000111
149,1000100
85,1000101
133,1000110
177,10001110
59,10001111
114,1001000
75,1001001
183,100101000
211,1001010010
218,10010100110
215,10010100111
82,10010101
130,1001011
72,10011000
106,10011001
128,1001101
95,1001110
173,1001111
101,10100000
102,10100001
176,10100010
107,10100011
54,10100100
73,10100101
56,10100110
78,10100111
61,10101000
64,10101001
77,10101010
97,10101011
90,1010110
192,101011100
197,101011101
83,10101111
66,10110000
111,10110001
175,10110010
52,10110011
210,1011010000
209,1011010001
202,101101001
112,10110101
88,10110110
171,10110111
119,1011100
79,10111010
207,101110110
190,1011101110
200,1011101111
39,101111
69,11000000
103,11000001
44,1100001
81,11000100
93,11000101
100,11000110
71,11000111
45,1100100
108,11001010
87,11001011
110,11001100
189,1100110100
221,110011010100
220,110011010101
216,11001101011
187,110011011
105,11001110
92,11001111
40,110100
76,11010100
84,11010101
98,11010110
50,11010111
74,11011000
194,1101100100
195,1101100101
180,110110011
117,11011010
174,11011011
38,110111
116,11100000
113,11100001
168,1110001
86,11100100
181,111001010
208,1110010110
198,1110010111
49,11100110
170,11100111
96,11101000
94,11101001
91,11101010
89,11101011
115,11101100
121,11101101
172,11101110
122,11101111
163,1111000
124,1111001
120,11110100
199,1111010100
191,1111010101
196,1111010110
204,1111010111
43,1111011
158,1111100
138,1111101
118,11111100
37,111111010
193,1111110110
205,1111110111
153,1111111
